Color, 108, 95, 53, Center, 875.533936, 272.778748, Size, 64.283646, 252.051666, Angle, 88.251213
Color, 182, 90, 34, Center, 843.078369, 207.181458, Size, 73.599113, 311.085388, Angle, 92.542793
Color, 182, 90, 34, Center, 825.358582, 208.383347, Size, 74.913651, 337.662872, Angle, 92.892899
Color, 182, 90, 34, Center, 853.011047, 203.998276, Size, 76.637199, 320.642212, Angle, 91.660072
Color, 182, 90, 34, Center, 863.894043, 202.636810, Size, 66.754570, 301.938141, Angle, 93.283966
Color, 182, 90, 34, Center, 816.876709, 208.414978, Size, 71.957657, 386.767456, Angle, 92.287216
Color, 182, 90, 34, Center, 831.322083, 206.835724, Size, 76.064713, 354.863464, Angle, 90.879463
Color, 212, 247, 90, Center, 632.362183, 218.203949, Size, 100.554901, 356.175690, Angle, 90.824265
Color, 212, 247, 90, Center, 636.427307, 219.451843, Size, 97.227310, 392.551971, Angle, 88.721336
Color, 212, 247, 90, Center, 696.455627, 219.313766, Size, 86.073418, 460.187744, Angle, 86.987961
Color, 212, 247, 90, Center, 720.149902, 222.071136, Size, 78.556580, 462.712646, Angle, 82.785759
Color, 212, 247, 90, Center, 725.225769, 228.190231, Size, 62.099777, 480.943359, Angle, 83.387924
Color, 212, 247, 90, Center, 645.971313, 220.654755, Size, 96.319916, 389.081573, Angle, 87.981766
Color, 69, 170, 176, Center, 705.126709, 165.479721, Size, 72.459900, 429.446747, Angle, 87.200256
Color, 69, 170, 176, Center, 782.350403, 180.641495, Size, 38.352608, 423.611572, Angle, 263.105103
Color, 69, 170, 176, Center, 709.311584, 165.291534, Size, 67.790825, 449.392700, Angle, 86.212517
Color, 69, 170, 176, Center, 671.060852, 167.834747, Size, 61.794521, 474.203796, Angle, 84.521652
Color, 69, 170, 176, Center, 712.509155, 183.614563, Size, 48.602306, 371.350555, Angle, 87.495949
Color, 69, 170, 176, Center, 699.842590, 164.860062, Size, 73.340958, 415.664276, Angle, 86.042633
Color, 105, 74, 157, Center, 209.873444, 346.809601, Size, 172.538727, 411.637909, Angle, 171.314087
Color, 105, 74, 157, Center, 207.053787, 344.713562, Size, 187.772629, 383.613495, Angle, 168.509201
Color, 105, 74, 157, Center, 213.189377, 325.614288, Size, 126.391945, 308.726593, Angle, 142.571487
Color, 105, 74, 157, Center, 177.080475, 349.342682, Size, 244.079544, 372.579712, Angle, 158.071671
Color, 105, 74, 157, Center, 205.815048, 346.802521, Size, 195.273926, 382.943695, Angle, 167.418823
Color, 105, 74, 157, Center, 210.752060, 349.424744, Size, 174.266235, 396.991913, Angle, 170.275681
Color, 122, 195, 78, Center, 1051.262573, 111.953300, Size, 102.704277, 208.046188, Angle, 179.286285
Color, 122, 195, 78, Center, 1050.021973, 100.944710, Size, 101.126595, 225.743942, Angle, 174.876923
Color, 122, 195, 78, Center, 1051.749756, 116.517563, Size, 96.109352, 181.656281, Angle, 161.633255
Color, 122, 195, 78, Center, 1060.956787, 125.134911, Size, 85.015549, 187.079041, Angle, 179.016281
Color, 122, 195, 78, Center, 1053.625732, 118.200447, Size, 98.166626, 194.175858, Angle, 179.175049
Color, 122, 195, 78, Center, 1049.432495, 100.115135, Size, 101.906654, 225.830963, Angle, 175.829468
Color, 170, 80, 74, Center, 1182.617065, 804.440308, Size, 37.233871, 1736.963135, Angle, 179.994812
Color, 170, 80, 74, Center, 1182.978149, 1485.799194, Size, 31.090115, 3303.754395, Angle, 180.233124
Color, 170, 80, 74, Center, 1179.664429, 1997.018921, Size, 34.659439, 4022.538086, Angle, 180.282730
Color, 170, 80, 74, Center, 1184.040894, 960.017273, Size, 32.368584, 2355.108398, Angle, 180.091736
Color, 170, 80, 74, Center, 1182.580933, 1555.550171, Size, 31.687243, 3300.873535, Angle, 180.247711
Color, 170, 80, 74, Center, 1181.711914, 435.400299, Size, 34.869179, 2291.406250, Angle, 179.614426
Color, 56, 206, 246, Center, 1147.174683, 416.677521, Size, 46.809673, 1100.712036, Angle, 179.071198
Color, 56, 206, 246, Center, 1147.418457, 426.613770, Size, 46.025238, 1072.836914, Angle, 179.102386
Color, 56, 206, 246, Center, 1148.395142, 443.557068, Size, 46.856068, 1134.707764, Angle, 179.345413
Color, 56, 206, 246, Center, 1148.806274, 483.940918, Size, 46.214912, 1079.711304, Angle, 179.287354
